X,Y
4.52138,2.18425
4.47963,2.18369
4.50572,2.3608
4.54125,2.59503
4.55031,2.59494
4.5714,2.64718
4.58367,2.61655
4.59764,2.67268
4.60031,2.74035
4.57118,2.74254
4.56923,2.72921
4.58394,2.86447
4.60884,2.85088
4.61489,2.75833
4.59806,2.75372
4.62751,2.75726
4.64055,2.84009
4.64502,2.79237
4.66029,2.8399
4.64489,2.66651
4.71962,2.64482
4.72298,2.75539
4.72857,2.84116
